tipo;bairro;valor;area;quartos;vagas;suites;banheiros;latitude;longitude;regiao;valor
APARTAMENTO;PANAMERICANO;179000.0;56.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 11;12.095146671399466
APARTAMENTO;BARROSO;170000.0;64.0;3;1.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 9;12.04355959836804
APARTAMENTO;MESSEJANA;160000.0;58.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;11.982935344196433
CASA;CIDADE DOS FUNCIONÁRIOS;4700000.0;1.0;6;12.0;5.0;8.0;-3.7460584;-38.4616513;REGIONAL 6;15.363073279446223
CASA;CIDADE DOS FUNCIONÁRIOS;2500000.0;510.0;2;5.0;3.0;3.0;-3.7460584;-38.4616513;REGIONAL 6;14.731801689838349
CASA;PARQUELÂNDIA;1900000.0;285.0;4;8.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 3;14.45736497045232
CASA;PAPICU;1500000.0;158.0;4;6.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.220976332738882
CASA;SAPIRANGA/COITÉ;1490000.0;244.0;4;4.0;4.0;6.0;-3.7460584;-38.4616513;REGIONAL 7;14.214287349062356
CASA;DE LOURDES;1250000.0;462.0;2;20.0;2.0;1.0;-3.7460584;-38.4616513;REGIONAL 2;14.038654909278163
CASA;TAUAPE;1200000.0;660.0;6;4.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.997832948091215
CASA;GUARARAPES;1200000.0;594.0;4;14.0;4.0;8.0;-3.7460584;-38.4616513;REGIONAL 7;13.997832948091215
CASA;PAPICU;1200000.0;468.0;4;8.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.997832948091215
CASA;EDSON QUEIROZ;1175000.0;198.0;4;4.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 7;13.976779556623864
CASA;ALDEOTA;1350000.0;532.0;7;6.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 2;14.115615891155079
CASA;RODOLFO TEÓFILO;1100000.0;330.0;4;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 3;13.910821646859095
CASA;DIONÍSIO TORRES;1100000.0;177.0;5;3.0;3.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.910821646859095
CASA;TAUAPE;1100000.0;296.0;5;2.0;4.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.910821646859095
CASA;JOAQUIM TÁVORA;1100000.0;350.0;4;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.910821646859095
CASA;JOAQUIM TÁVORA;950000.0;126.0;4;4.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.76421831620775
CASA;MANUEL DIAS BRANCO;870000.0;230.0;3;4.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;13.676249640055394
